given_name,gender,sect_id,cond
名字,性别(男/女),宗门ID(空=散修),条件(暂不用)
逍遥,男,,
无极,男,,
天行,男,,
凌云,男,,
破晓,男,,
斩风,男,,
御风,男,,
追星,男,,
景天,男,,
清源,男,,
玄机,男,,
天骄,男,,
无双,男,,
惊鸿,男,,
绝尘,男,,
傲天,男,,
剑心,男,,
风华,男,,
无尘,男,,
天启,男,,
墨染,男,,
凌霄,男,,
天羽,男,,
星辰,男,,
飞雪,男,,
幽冥,男,,
天籁,男,,
破军,男,,
神威,男,,
无痕,男,,
天策,男,,
剑魂,男,,
风流,男,,
绝世,男,,
天命,男,,
扶摇,男,,
傲骨,男,,
星河,男,,
天机,男,,
风云,男,,
天成,男,,
无忧,男,,
破空,男,,
凌波,男,,
天涯,男,,
风尘,男,,
玄凌,男,,
天阙,男,,
元衡,男,,
剑尘,男,,
云霄,男,,
青玄,男,,
玄霄,男,,
沧澜,男,,
断尘,男,,
清尘,男,,
承影,男,,
寒月,男,,
晨旭,男,,
破阵,男,,
北辰,男,,
南斗,男,,
青冥,男,,
太虚,男,,
玄空,男,,
长生,男,,
寒川,男,,
寒星,男,,
惊雷,男,,
苍穹,男,,
辰渊,男,,
赤霄,男,,
炎霆,男,,
逐霜,男,,
啸月,男,,
逐风,男,,
青穹,男,,
玄霜,男,,
白羽,男,,
青羽,男,,
紫霄,男,,
云衡,男,,
星衡,男,,
沧海,男,,
霆骁,男,,
擎天,男,,
孤川,男,,
孤鸿,男,,
墨白,男,,
清越,男,,
青霖,男,,
驭风,男,,
重楼,男,,
寒洲,男,,
星阑,男,,
子陵,男,,
元诚,男,,
行舟,男,,
凌寒,男,,
青霜,男,,
如雪,女,,
若梦,女,,
凝香,女,,
紫霞,女,,
月华,女,,
清音,女,,
蝶舞,女,,
花颜,女,,
雅韵,女,,
诗涵,女,,
静雯,女,,
慕蓉,女,,
婉儿,女,,
柔情,女,,
霓裳,女,,
晚颜,女,,
如烟,女,,
妙音,女,,
冰心,女,,
玉颜,女,,
如玉,女,,
清影,女,,
梦瑶,女,,
紫嫣,女,,
霜华,女,,
若水,女,,
青莲,女,,
雪儿,女,,
慧心,女,,
素衣,女,,
如意,女,,
诗雨,女,,
梦蝶,女,,
紫萱,女,,
冰莲,女,,
若兰,女,,
清雅,女,,
雪梅,女,,
慕雪,女,,
天音,女,,
如风,女,,
诗韵,女,,
梦云,女,,
紫烟,女,,
冰雪,女,,
若霜,女,,
清秋,女,,
雪莲,女,,
慕凝,女,,
天香,女,,
月影,女,,
青衣,女,,
素心,女,,
霜凝,女,,
清欢,女,,
暮雪,女,,
月灵,女,,
云岚,女,,
灵汐,女,,
冷月,女,,
冰瑶,女,,
玄月,女,,
青璇,女,,
紫凝,女,,
雪鸢,女,,
绛霓,女,,
绯烟,女,,
流苏,女,,
墨琴,女,,
断晴,女,,
雨霖,女,,
归晚,女,,
临渊,女,,
婵娟,女,,
听雪,女,,
凝霜,女,,
岚烟,女,,
疏影,女,,
清宵,女,,
流萤,女,,
夜阑,女,,
素锦,女,,
锦瑟,女,,
孤鸢,女,,
青萝,女,,
碧落,女,,
飞霜,女,,
无霜,女,,
明玥,女,,
皎月,女,,
醉花,女,,
半夏,女,,
初霁,女,,
白芷,女,,
青黛,女,,
灵芸,女,,
绮罗,女,,
初晴,女,,
寒烟,女,,
月珑,女,,
澄川,男,1,
宏石,男,1,
磐岳,男,1,
霆岱,男,1,
寂岚,男,1,
久安,男,1,
宸秋,男,1,
烁离,男,1,
沧岳,男,1,
砺锋,男,1,
炎洲,男,1,
远歌,男,1,
采微,女,1,
霏岚,女,1,
韶华,女,1,
绮澜,女,1,
珠影,女,1,
远岫,女,1,
若水,女,1,
凝香,女,1,
雪瑶,女,1,
南絮,女,1,
轻萝,女,1,
宛竹,女,1,
驼王,男,2,
飞熊,男,2,
虎魄,男,2,
狼行,男,2,
熊罡,男,2,
白猿,男,2,
石坚,男,2,
山岚,男,2,
青鬃,男,2,
玄爪,男,2,
金瞳,男,2,
裂爪,男,2,
破角,男,2,
狂鬃,男,2,
赤鬣,男,2,
苍隼,男,2,
啸风,男,2,
裂岩,男,2,
狐绮,女,2,
白貂,女,2,
青翎,女,2,
雪牙,女,2,
赤羽,女,2,
玄狸,女,2,
灵爪,女,2,
月狐,女,2,
银鳞,女,2,
霜蹄,女,2,
云貉,女,2,
绒尾,女,2,
锦狐,女,2,
轻蹄,女,2,
涟光,男,3,
沧浪,男,3,
泽远,男,3,
浩川,男,3,
泊舟,男,3,
涓石,男,3,
溪原,男,3,
涵舟,男,3,
泠曜,男,3,
漪岑,男,3,
淞岳,男,3,
涔雨,男,3,
漫霖,女,3,
洛漪,女,3,
潋月,女,3,
涵烟,女,3,
沁波,女,3,
翠波,女,3,
漫葭,女,3,
汀兰,女,3,
潭歌,女,3,
涓玥,女,3,
澧宁,女,3,
潇然,女,3,
血燎,男,4,
焚魄,男,4,
灰灭,男,4,
殁川,男,4,
绝尘,男,4,
厌离,男,4,
朔寒,男,4,
邪风,男,4,
归墟,男,4,
朽骨,男,4,
朔月,男,4,
止戈,男,4,
寒绫,女,4,
霜瑶,女,4,
凄歌,女,4,
素鸢,女,4,
祭宁,女,4,
黛魂,女,4,
夙梦,女,4,
绫雪,女,4,
凛珑,女,4,
霁月,女,4,
旷音,女,4,
凝岚,女,4,
暗阑,男,5,
机括,男,5,
鬼匣,男,5,
夜禁,男,5,
幻锁,男,5,
残锋,男,5,
暗弦,男,5,
影栅,男,5,
幽钩,男,5,
断线,男,5,
潜匿,男,5,
迷踪,男,5,
玄簪,女,5,
霜绡,女,5,
纤罗,女,5,
碎玉,女,5,
影裳,女,5,
轻弦,女,5,
凝黛,女,5,
凝烟,女,5,
冷珥,女,5,
素纱,女,5,
凛钗,女,5,
寒袖,女,5,
流烟,男,6,
迟夜,男,6,
长陌,男,6,
归舟,男,6,
暮成,男,6,
远辞,男,6,
行止,男,6,
轻寒,男,6,
沉香,男,6,
野鹤,男,6,
乘风,男,6,
婉心,女,6,
轻柔,女,6,
疏影,女,6,
如梦,女,6,
绮念,女,6,
惜香,女,6,
慕雪,女,6,
倾城,女,6,
绯烟,女,6,
晚晴,女,6,
素袖,女,6,
霁眉,女,6,
绸缪,女,6,
静妍,女,6,
安魄,男,7,
靖川,男,7,
霁阳,男,7,
季衡,男,7,
砺甲,男,7,
烁锋,男,7,
昊戈,男,7,
祁光,男,7,
漠石,男,7,
启封,男,7,
殷策,男,7,
定魄,男,7,
清宁,女,7,
素铃,女,7,
靖霜,女,7,
澄心,女,7,
霁雪,女,7,
安祈,女,7,
净月,女,7,
宁枝,女,7,
祷绫,女,7,
明槐,女,7,
采霁,女,7,
定寒,女,7,
噬影,男,8,
无藏,男,8,
绝响,男,8,
断痕,男,8,
影渊,男,8,
暗行,男,8,
潜踪,男,8,
魄隐,男,8,
迷雾,男,8,
空蝉,男,8,
断念,男,8,
裂隙,男,8,
影绫,女,8,
暗萝,女,8,
霜绡,女,8,
素鹭,女,8,
玄绮,女,8,
凝灯,女,8,
绫岚,女,8,
凛铃,女,8,
朔华,女,8,
漠音,女,8,
宵岑,女,8,
泠歌,女,8,
持衡,男,9,
清评,男,9,
问价,男,9,
立契,男,9,
通衡,男,9,
问道,男,9,
理市,男,9,
衡准,男,9,
守约,男,9,
筑匠,男,9,
铸衡,男,9,
估算,男,9,
素蓝,女,9,
明衡,女,9,
巧心,女,9,
青帆,女,9,
绫舟,女,9,
观星,女,9,
衡绫,女,9,
星槎,女,9,
织霓,女,9,
采绫,女,9,
芸巧,女,9,
霁行,女,9,
砚秋,女,9,
镶玑,女,9,
绘蓝,女,9,
银梭,女,9,
珩心,女,9,
凌虚,男,1,
剑尘,男,1,
浩然,男,1,
长风,男,1,
问天,男,1,
断岳,男,1,
流云,男,1,
守心,男,1,
剑鸣,男,1,
天锋,男,1,
傲雪,男,1,
寒松,男,1,
抱朴,男,1,
