last_name,sect,cond
姓氏,宗门名称(空=散修通用),条件(暂不用)
司马,,
慕容,,
上官,,
独孤,,
东方,,
南宫,,
西门,,
北冥,,
欧阳,,
夏侯,,
令狐,,
诸葛,,
皇甫,,
公孙,,
轩辕,,
百里,,
呼延,,
闻人,,
长孙,,
段干,,
云,,
叶,,
夜,,
风,,
霜,,
雪,,
星,,
月,,
冷,,
凌,,
苏,,
陆,,
萧,,
林,,
君,,
墨,,
白,,
顾,,
秦,,
楚,,
赵,,
唐,,
韩,,
魏,,
宋,,
齐,,
燕,,
晋,,
陈,,
李,,
明,明心剑宗,
心,明心剑宗,
剑,明心剑宗,
霄,明心剑宗,
玄,明心剑宗,
霁,明心剑宗,
衡,明心剑宗,
孤,明心剑宗,
徽,明心剑宗,
肃,明心剑宗,
水,水镜宗,
镜,水镜宗,
寒,水镜宗,
清,水镜宗,
沐,水镜宗,
澜,水镜宗,
渊,水镜宗,
泉,水镜宗,
冥,冥王宗,
王,冥王宗,
幽,冥王宗,
狱,冥王宗,
魇,冥王宗,
阴,冥王宗,
朱,朱勾宗,
绯,朱勾宗,
刃,朱勾宗,
戮,朱勾宗,
蚀,朱勾宗,
钧,朱勾宗,
鸦,朱勾宗,
殷,朱勾宗,
合,合欢宗,
欢,合欢宗,
柳,合欢宗,
花,合欢宗,
厉,镇魂宗,
卢,镇魂宗,
镇,镇魂宗,
魂,镇魂宗,
钟,镇魂宗,
青,镇魂宗,
阎,幽魂噬影宗,
鬼,幽魂噬影宗,
归,幽魂噬影宗,
应,幽魂噬影宗,
魅,幽魂噬影宗,
商,千帆城,

