item_id,name,weapon_type,grade,desc,effects
,Name,Weapon Type,Grade(Qi Refinement/Foundation Establishment/Core Formation/Nascent Soul),Description/Prompt,JSON Effects
1001,Qi Refinement Sword,SWORD,QI_REFINEMENT,"An iron sword forged by a local blacksmith, barely usable.",{extra_battle_strength_points: 1}
1002,Qi Refinement Saber,SABER,QI_REFINEMENT,"A thick-backed chopper, a favorite of ordinary martial artists.",{extra_battle_strength_points: 1}
1003,Qi Refinement Spear,SPEAR,QI_REFINEMENT,"Made of white wax wood, with a red tassel on the spearhead.",{extra_battle_strength_points: 1}
1004,Qi Refinement Staff,STAFF,QI_REFINEMENT,"A common hardwood staff, as long as the eyebrows.",{extra_battle_strength_points: 1}
1005,Qi Refinement Fan,FAN,QI_REFINEMENT,A folding fan commonly used by scholars and literati for elegance.,{extra_battle_strength_points: 1}
1006,Qi Refinement Whip,WHIP,QI_REFINEMENT,"A common leather whip, mostly used for driving carts or punishment.",{extra_battle_strength_points: 1}
1007,Qi Refinement Zither,ZITHER,QI_REFINEMENT,"An ancient zither made of paulownia wood, with fair sound quality.",{extra_battle_strength_points: 1}
1008,Qi Refinement Flute,FLUTE,QI_REFINEMENT,"Carved from purple bamboo, with a crisp sound.",{extra_battle_strength_points: 1}
1009,Qi Refinement Hidden Weapon,HIDDEN_WEAPON,QI_REFINEMENT,Commonly seen iron hidden weapons.,{extra_battle_strength_points: 1}
1021,Azure Frost Sword,SWORD,FOUNDATION_ESTABLISHMENT,The sword qi is bone-chillingly cold.,{extra_battle_strength_points: 2}
1022,Moon in the Well,SABER,FOUNDATION_ESTABLISHMENT,"The saber light is like the moon reflected in a well, unpredictable.",{extra_battle_strength_points: 2}
1023,Fire Tipped Spear,SPEAR,FOUNDATION_ESTABLISHMENT,"Faint fire light on the spearhead, able to trigger common fire.","{extra_battle_strength_points: 2, extra_max_hp: 50}"
1024,Dragon Capturing Rod,STAFF,FOUNDATION_ESTABLISHMENT,"Forged from refined iron, weighing a thousand jin, usable by those with great strength.","{extra_battle_strength_points: 2, extra_max_hp: 50}"
1025,Peach Blossom Fan,FAN,FOUNDATION_ESTABLISHMENT,"Falling peach blossom shadows like flying divine swords; peach blossoms painted on the fan, hiding killing intent.","{extra_battle_strength_points: 2, extra_observation_radius: 1}"
1026,God Striking Whip,WHIP,FOUNDATION_ESTABLISHMENT,"An imitation; although lacking the power to strike gods, it can wound the soul.",{extra_battle_strength_points: 2}
1027,Heavenly Demonic Zither,ZITHER,FOUNDATION_ESTABLISHMENT,"The zither sound is demonic, disturbing the mind.","{extra_battle_strength_points: 2, cultivate_duration_reduction: 0.1}"
1028,Ghost Flute Chenqing,FLUTE,FOUNDATION_ESTABLISHMENT,Said to be able to control corpse puppets with this flute.,"{extra_battle_strength_points: 2, cultivate_duration_reduction: 0.1}"
