id,key,name,element_list,desc,effects
,,,元素列表以分号分隔（示例：金;木）,描述不会在代码中使用,"JSON形式（支持宽松格式，见effects.py说明）"
1,GOLD,金灵根,GOLD,刚强果断；攻击力强，适合剑修,
2,WOOD,木灵根,WOOD,仁厚坚韧；擅恢复、毒术与木属性法术,
3,WATER,水灵根,WATER,智慧圆融；身法轻盈，善辅助与隐匿,
4,FIRE,火灵根,FIRE,激情暴烈；高爆发攻术，火系功法,
5,EARTH,土灵根,EARTH,稳重踏实；防御高，体修或傀儡术,
6,THUNDER,雷灵根,WATER;EARTH,爆发性极强；战斗系顶尖,
7,ICE,冰灵根,GOLD;WATER,控制力强；持久性好,
8,WIND,风灵根,WOOD;WATER,身法卓绝；难以捉摸,
9,DARK,暗灵根,FIRE;EARTH,隐匿系；擅幻术与诡道,
10,HEAVEN,天灵根,GOLD;WOOD;WATER;FIRE;EARTH,资质通天；五行皆通，修行全面,"{extra_breakthrough_success_rate: 0.1, extra_retreat_success_rate: 0.1}"

