id,name,technique_root,grade,desc,weight,condition,sect_id,effects
,名称,属性,品阶（上中下）,描述/提示词,抽样权重,条件,宗门ID(空=散修),JSON形式（支持宽松格式，见effects.py说明）
1,金刚不坏体,GOLD,LOWER,少林七十二绝技之一，浑身坚若金刚，刀枪不入。,1,,,
2,金钟罩,GOLD,MIDDLE,运气成钟，护持周身，反震外力。,1,,,"{""extra_battle_strength_points"": 3}"
4,长春功,WOOD,LOWER,养生延年，气息绵长，凡人修仙的基础功法。,1,,,
5,青帝木皇功,WOOD,MIDDLE,汲取草木精气，生机不绝，皇气浩荡。,1,,,"{""extra_battle_strength_points"": 3}"
7,若水诀,WATER,LOWER,上善若水，水利万物而不争，绵柔醇厚。,1,,,
8,黑帝水皇拳,WATER,MIDDLE,驾驭滔滔黑水，如帝亲临，大气磅礴。,1,,,"{""extra_battle_strength_points"": 3}"
10,火灵诀,FIRE,LOWER,最基础的法术，凝聚火炎伤敌，简单实用。,1,,,
11,纯阳无极功,FIRE,MIDDLE,纯阳之气，刚猛无铸，克制阴邪。,1,,,"{""extra_battle_strength_points"": 3}"
13,搬山诀,EARTH,LOWER,力能扛鼎，气力悠长，如下山猛虎。,1,,,
14,不动明王诀,EARTH,MIDDLE,不动如山，动如雷震，佛门护法神功。,1,,,"{""extra_battle_strength_points"": 3}"
16,冰心诀,ICE,LOWER,心若冰清，天塌不惊，凝神静气。,1,,,{extra_retreat_success_rate: 0.1}
17,玄冰劲,ICE,MIDDLE,寒气透骨，冻结经脉，阴狠霸道。,1,,,"{""extra_battle_strength_points"": 3}"
19,神行百变,WIND,LOWER,身法灵动，变幻莫测，逃跑一流。,1,,,
20,梯云纵,WIND,MIDDLE,武当绝学，左脚踩右脚，直上青云。,1,,,"{""extra_battle_strength_points"": 3}"
22,敛息术,DARK,LOWER,收敛气息，如枯木死灰，令人难以察觉。,1,,,
23,鬼影迷踪,DARK,MIDDLE,如鬼魅般难以捉摸，步法诡异。,1,,,"{""extra_battle_strength_points"": 3}"
25,掌心雷,THUNDER,LOWER,道家正宗法术，掌心发雷，震慑妖邪。,1,,,
